,AAPL,ABT,ACN,AEP,ALL,AMGN,AMZN,APA,APC,AXP,BA,BAC,BAX,BHI,BK,BMY,BRK.B,C,CAT,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DELL,DIS,DOW,DVN,EBAY,EMC,EMR,EXC,F,FCX,FDX,GD,GE,GILD,GOOG,GS,HAL,HD,HNZ,HON,HPQ,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NKE,NOV,NSC,NWSA,ORCL,OXY,PEP,PFE,PG,PM,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WAG,WFC,WMB,WMT,XOM
AAPL,NA,0.291731841,0.6959056,0.659919542,0.735874929,0.242796185,0.911422039,0.935434709,0.645594599,0.921519068,0.906224743,0.720049934,0.613266947,0.921581718,0.813318412,0.942650757,0.897959055,NA,0.634132446,0.700761917,0.471768088,0.795654409,0.593846021,0.821120147,0.937649721,0.777344503,0.945553494,0.371304201,0.578879614,0.851911466,0.083335222,0.366285324,0.478847214,0.599860916,0.242135207,0.4367146,NA,0.01,0.506551128,0.633688743,0.829115749,0.452037312,0.982731546,0.902237716,0.292102771,0.773657806,NA,0.80922891,0.683101002,0.858795851,0.961392876,0.609478157,0.98859842,NA,0.26643209,0.312839414,0.39694629,0.37778482,0.836256214,0.152470028,0.897756294,0.925051646,0.679190832,0.799744205,0.619596441,0.642595735,0.909265593,0.948412797,0.45720821,0.718248232,0.550095026,NA,NA,0.951713744,NA,0.56990868,0.589009245,0.501526446,0.254139585,0.119702047,0.551099087,0.581621907,0.632170662,0.595401794,NA,0.804150252,0.569366466,0.240682748,0.457966623,0.842164492,0.804982311,0.961703886,0.613201596,0.94751018,0.75594635,0.449656819,0.945852043,0.179681552,0.571561113,0.977667655
ABT,NA,NA,0.464430239,0.541806392,0.477370631,0.474654187,0.311558406,0.551305682,0.071791232,0.400001547,0.077805536,0.012270193,0.093674629,0.166888502,0.014587775,0.745800964,0.060970124,NA,0.099439612,0.820957151,0.417282322,0.046438396,0.031105957,0.049979597,0.061951325,0.045366062,0.014647735,0.167854977,0.348978243,0.585098902,0.161086177,0.169697652,0.381777572,0.012524824,0.042608241,0.57216849,NA,0.448830176,0.048963607,0.023196338,0.014567058,0.480066626,0.347412608,0.041142356,0.139533016,0.073867176,NA,0.019075885,0.145085924,0.047115156,0.78457502,0.289064935,0.033409696,NA,0.824408354,0.101176881,0.186928109,0.178096012,0.236075446,0.403354178,0.034374839,0.039840311,0.012312157,0.408805116,0.197974933,0.040972727,0.047713731,0.772946467,0.239566984,0.188687635,0.083052527,NA,NA,0.660981783,NA,0.450375346,0.073105799,0.025118744,0.368905901,0.249623102,0.013458367,0.354504922,0.512088409,0.534870039,NA,0.062642631,0.47203182,0.325408741,0.429343831,0.09711432,0.106851136,0.094708025,0.189227363,0.492779269,0.411339954,0.090988155,0.023447184,0.513506056,0.326983939,0.158845746
ACN,NA,NA,NA,0.80064626,0.846910806,0.784548815,0.667274209,0.172257466,0.409152349,0.173839977,0.113307944,0.354496973,0.666360183,0.533013799,0.441771344,0.340678717,0.438251145,NA,0.444074356,0.898145078,0.709411787,0.449537015,0.47684229,0.523326323,0.307335458,0.518559517,0.382282592,0.680411956,0.728187769,0.417477651,0.562767111,0.473681711,0.737825631,0.363701747,0.675243582,0.853512344,NA,0.709649711,0.524354945,0.377773644,0.411698284,0.711995563,0.174484961,0.249147504,0.528766232,0.310171336,NA,0.381887589,0.332057319,0.443439628,0.062270045,0.780279331,0.231220734,NA,0.958185549,0.721020067,0.594250918,0.653253811,0.647749255,0.846346371,0.359990388,0.143235306,0.570482204,0.554485057,0.322685069,0.588074182,0.11689234,0.308164909,0.53560381,0.552953849,0.419243264,NA,NA,0.058922076,NA,0.808438778,0.624501476,0.622662932,0.867361807,0.6361869,0.4436143,0.814012849,0.822405594,0.636318896,NA,0.534519111,0.835611263,0.822926756,0.8893186,0.192040108,0.426023972,0.493330417,0.802699166,0.447914599,0.537277355,0.642862269,0.394456161,0.914456175,0.723410418,0.472340079
AEP,NA,NA,NA,NA,0.437962627,0.088223473,0.477896876,0.863207701,0.465817094,0.802955334,0.699941634,0.170654884,0.475803668,0.508446866,0.40207249,0.926487217,0.695213518,NA,0.536399751,0.78398551,0.344843974,0.277320909,0.312854144,0.469413908,0.62318287,0.331209023,0.390350146,0.591681427,0.779427772,0.740324966,0.631843388,0.52840993,0.488295969,0.338736921,0.421201409,0.185377978,NA,0.752766013,0.277714033,0.300697925,0.524941821,0.241339313,0.751877177,0.70560632,0.402565826,0.633059985,NA,0.432948309,0.495032043,0.665138523,0.938290563,0.314475953,0.694943904,NA,0.888158704,0.678245289,0.50302247,0.621092582,0.604723023,0.329692854,0.680351398,0.367503637,0.488926246,0.732827632,0.559218775,0.629541551,0.564499492,0.917739344,0.520453997,0.626226877,0.587065941,NA,NA,0.924823244,NA,0.52826131,0.392519262,0.595697092,0.8632406,0.878516254,0.314249581,0.398844073,0.554771321,0.4726575,NA,0.439147134,0.252300319,0.408817585,0.573233979,0.654990737,0.562690757,0.65270868,0.504315587,0.742524277,0.438246232,0.60268164,0.512768578,0.613528956,0.123202949,0.687606024
ALL,NA,NA,NA,NA,NA,0.043801324,0.272943251,0.920691343,0.475399856,0.915994073,0.797608435,0.440626857,0.22431289,0.407073871,0.623634817,0.950121162,0.908761341,NA,0.623320506,0.746996743,0.017438975,0.386797237,0.4314424,0.491738496,0.617977575,0.539347369,0.686423846,0.838370811,0.662895632,0.874238991,0.824741427,0.663357586,0.227738022,0.299964389,0.546199342,0.369092732,NA,0.763286099,0.064887714,0.479689652,0.53015439,0.379811724,0.938701795,0.879787135,0.522381537,0.73250322,NA,0.586404028,0.430165717,0.655897795,0.908318783,0.139681272,0.926289925,NA,0.753256513,0.596373469,0.564120896,0.63205522,0.542317593,0.481386096,0.738630848,0.608378225,0.516807435,0.785034997,0.492793302,0.556038867,0.778807613,0.909411509,0.712867828,0.563023261,0.754929152,NA,NA,0.947550096,NA,0.376539002,0.125661792,0.608488565,0.684682922,0.907754914,0.456743445,0.284476923,0.245439099,0.602920392,NA,0.372639372,0.145696998,0.398349044,0.180282546,0.877334981,0.615248993,0.778130395,0.307750349,0.774235595,0.610458426,0.609469542,0.721595555,0.718023472,0.248591643,0.867932723
AMGN,NA,NA,NA,NA,NA,NA,0.284603612,0.781961209,0.388212934,0.754777389,0.617306816,0.074818252,0.160719826,0.331006621,0.267501717,0.913999057,0.59459698,NA,0.332775768,0.658038541,0.043407806,0.30856897,0.12466248,0.379898299,0.529663168,0.342643328,0.344388503,0.357743567,0.327671245,0.728872908,0.351395045,0.332562146,0.268570112,0.092787465,0.044729304,0.035347283,NA,0.355330705,0.038628592,0.241621901,0.311173761,0.280963566,0.685671574,0.549330922,0.292512321,0.549235972,NA,0.339287812,0.366652693,0.453467576,0.905998555,0.105302588,0.598278283,NA,0.048952882,0.089274442,0.269367866,0.303489529,0.403945975,0.01,0.561911454,0.421204926,0.124191138,0.69951338,0.541509642,0.49169966,0.522844632,0.873262394,0.341922945,0.394950439,0.562662596,NA,NA,0.835701078,NA,0.059243221,0.175585089,0.409877948,0.06183564,0.463119536,0.215513358,0.0228009,0.127423424,0.570017354,NA,0.307180279,0.022131867,0.031002444,0.085735771,0.650440956,0.453178434,0.442718358,0.01,0.838057682,0.548113086,0.196984502,0.379095844,0.01422072,0.103685971,0.508729423
AMZN,NA,NA,NA,NA,NA,NA,NA,0.784485535,0.488626182,0.765030868,0.446971621,0.510206159,0.243214551,0.387051091,0.520788001,0.731609924,0.560254204,NA,0.686269332,0.786098026,0.413033544,0.358530016,0.623883956,0.418395031,0.396950718,0.401669898,0.556129199,0.865483758,0.503273969,0.669529253,0.939561,0.777190957,0.424367357,0.392897567,0.838476128,0.46419746,NA,0.89474456,0.253702365,0.55818535,0.32761458,0.574035954,0.751562061,0.701971413,0.684876513,0.477726285,NA,0.517465464,0.267347579,0.485218368,0.759236101,0.451106705,0.55655369,NA,0.863816341,0.642517555,0.558759357,0.636987316,0.395555827,0.672608499,0.497158203,0.474462728,0.488035651,0.496193492,0.356297939,0.297223282,0.626921961,0.767066415,0.736268016,0.412723682,0.607582043,NA,NA,0.755446296,NA,0.226179861,0.085801897,0.425348539,0.900304048,0.875844283,0.626380144,0.654249803,0.22844646,0.506193057,NA,0.227373393,0.51249766,0.754276232,0.064173975,0.6418641,0.529932192,0.261031978,0.687810563,0.504730901,0.507218117,0.554539469,0.267745667,0.751756817,0.308047776,0.372175414
APA,NA,NA,NA,NA,NA,NA,NA,NA,0.618982209,0.296117691,0.311020206,0.689467127,0.841509922,0.702551044,0.693933665,0.259248333,0.61598219,NA,0.790942783,0.91162255,0.890010012,0.70984117,0.90186364,0.734857672,0.32505221,0.739505054,0.789323768,0.910573405,0.91020459,0.613086762,0.925551724,0.912201199,0.69403117,0.640564427,0.934528108,0.867356868,NA,0.955802165,0.760632132,0.673070243,0.697207507,0.77494681,0.313982549,0.442577055,0.764047241,0.570245453,NA,0.652209798,0.314588129,0.414010474,0.498183656,0.886029024,0.43768826,NA,0.967303452,0.922064056,0.691349559,0.837411555,0.760368628,0.902017378,0.55014752,0.295654897,0.89182396,0.603069131,0.458757417,0.711439242,0.090984565,0.393290123,0.900847073,0.818864359,0.614029142,NA,NA,0.489962875,NA,0.901257199,0.760420467,0.708193191,0.964281408,0.888503713,0.658681984,0.965524665,0.874180173,0.656964257,NA,0.769766151,0.914119961,0.937483419,0.857453341,0.516014505,0.651408929,0.741714493,0.95453064,0.37428118,0.676812099,0.770975774,0.676123648,0.966223228,0.834080775,0.718272627
APC,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348425959,0.081296866,0.073584389,0.059566858,0.03520595,0.118802977,0.638007252,0.114209053,NA,0.028967379,0.833994875,0.366169968,0.01,0.031412618,0.021703999,0.181076658,0.309158494,0.063210681,0.453700732,0.442435474,0.416807823,0.606015355,0.494809301,0.111122283,0.087554434,0.551332457,0.464611178,NA,0.763859422,0.067735396,0.01,0.175190417,0.432025843,0.240677827,0.310045674,0.226115047,0.046923394,NA,0.01,0.254380658,0.064414405,0.634100139,0.294615006,0.306949246,NA,0.653706587,0.281731677,0.01,0.135308556,0.340372441,0.470724245,0.043639829,0.01,0.100624587,0.08181199,0.142139909,0.344208118,0.185333572,0.599350173,0.362396131,0.21804709,0.127728592,NA,NA,0.634029262,NA,0.507037083,0.160397111,0.082200823,0.641455598,0.351780527,0.085813905,0.854925954,0.414852395,0.347102229,NA,0.088497303,0.464245037,0.52082417,0.364302437,0.346420183,0.047290588,0.107060391,0.690511009,0.174647235,0.372936326,0.398087673,0.023182068,0.722001332,0.231698571,0.120420301
AXP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018247453,0.595103154,0.725364961,0.458252612,0.646572905,0.409755546,0.501435584,NA,0.637558899,0.880233512,0.850933801,0.696752336,0.784815261,0.633057465,0.114330091,0.676515068,0.594824945,0.797553827,0.774053325,0.507661918,0.90436627,0.632963263,0.716580611,0.561036226,0.924253197,0.773284583,NA,0.870995738,0.643792698,0.487936809,0.59167863,0.745697321,0.339335207,0.459905086,0.517504157,0.316795412,NA,0.646022098,0.286660176,0.281030774,0.419337445,0.863291996,0.26720272,NA,0.980527862,0.910075978,0.690186964,0.785484346,0.6448453,0.925046479,0.401213122,0.082725775,0.819318863,0.430968192,0.317268521,0.551507195,0.284360356,0.331909086,0.755175084,0.579144854,0.494621173,NA,NA,0.193809243,NA,0.85702366,0.752390407,0.597363178,0.963672798,0.916805219,0.593994683,0.929872425,0.825541329,0.522130588,NA,0.651033628,0.908362712,0.937561146,0.734817861,0.349873112,0.400663705,0.67053571,0.955809855,0.280060533,0.666603217,0.723738305,0.530623297,0.934745994,0.775158458,0.591969868
BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383544496,0.482665381,0.097321061,0.427652989,0.471477115,0.01,NA,0.278438144,0.867024201,0.746445202,0.094860319,0.551633807,0.228382452,0.098163212,0.162691752,0.165149102,0.696028165,0.747408761,0.23811008,0.870908149,0.548193958,0.397077012,0.368214726,0.83526389,0.689268105,NA,0.903348441,0.63458339,0.384527119,0.315597916,0.59649379,0.024156301,0.268914694,0.209960818,0.01,NA,0.331644015,0.387901677,0.095304223,0.278197206,0.643173271,0.02687943,NA,0.966001068,0.962836073,0.39774667,0.605365418,0.232916913,0.825322729,0.038905073,0.01,0.581870416,0.020788504,0.011733355,0.259962397,0.089100099,0.475192451,0.478380455,0.398946583,0.04738165,NA,NA,0.113321619,NA,0.722405345,0.4268941,0.228949879,0.907884832,0.955464101,0.140968461,0.871148244,0.699143005,0.32838949,NA,0.256843806,0.845518299,0.856842721,0.722147273,0.01,0.253951356,0.302797581,0.951025322,0.01,0.294410043,0.619201677,0.087949892,0.933047305,0.526205023,0.085537702
BAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120032241,0.323263698,0.01,0.709690462,0.347834598,NA,0.337997378,0.799391965,0.244325284,0.1218346,0.080939565,0.053122434,0.441403551,0.164328472,0.085671183,0.229526015,0.555184619,0.326142446,0.514133128,0.220458251,0.28477131,0.247821619,0.319203536,0.236490853,NA,0.545511031,0.275602236,0.02582662,0.283493266,0.047963117,0.668034057,0.543878666,0.055578898,0.176993317,NA,0.326406748,0.493920031,0.208002194,0.591767034,0.088628494,0.832849842,NA,0.377250265,0.071463638,0.084614366,0.28820155,0.373890678,0.172047726,0.261866601,0.632232285,0.223910412,0.098559745,0.077410614,0.263421319,0.549442193,0.679185587,0.350703783,0.445370127,0.044007646,NA,NA,0.512372256,NA,0.346588233,0.205430672,0.05294121,0.514010594,0.380763182,0.298584186,0.342132582,0.215361437,0.086322906,NA,0.210988323,0.284448265,0.224284177,0.193615921,0.384519638,0.37568992,0.589909476,0.465382048,0.361322968,0.346921098,0.058504552,0.510191826,0.359897474,0.09426871,0.355502251
BAX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070760212,0.200335569,0.913717079,0.461615642,NA,0.205803072,0.750579804,0.206738197,0.051941994,0.042621469,0.042158612,0.490172341,0.199820199,0.398210869,0.563406864,0.196405805,0.703354925,0.544264596,0.492070182,0.194607632,0.037238085,0.378995206,0.422775432,NA,0.61776146,0.01,0.100619181,0.059286144,0.421146329,0.900620401,0.552290424,0.194540464,0.402760344,NA,0.037251975,0.266094911,0.284941114,0.905198064,0.149936906,0.650827366,NA,0.585333839,0.083916411,0.262988053,0.086168265,0.30861109,0.277558702,0.488546266,0.206749284,0.01,0.471658418,0.221998682,0.356181714,0.492745284,0.874164639,0.386542274,0.031383897,0.277989187,NA,NA,0.90813058,NA,0.367448837,0.017475369,0.204779068,0.353006034,0.518903376,0.039389888,0.398454086,0.251911099,0.522348532,NA,0.032244902,0.316233695,0.312239404,0.147725081,0.524712097,0.303766361,0.325464982,0.272770642,0.55477614,0.500798214,0.326699856,0.088814755,0.430210753,0.156345087,0.665590675
BHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379777812,0.669097602,0.090666505,NA,0.203749538,0.831477358,0.338657741,0.010176021,0.284051606,0.037941209,0.345821738,0.144356054,0.227912268,0.68607313,0.630149487,0.444533443,0.801671679,0.680118095,0.047596401,0.353338867,0.74454794,0.512769226,NA,0.904322378,0.208716914,0.109890707,0.290696787,0.457209263,0.288490346,0.612255109,0.466026639,0.056292133,NA,0.020622748,0.349848074,0.379708316,0.705725704,0.254643537,0.470347796,NA,0.762854814,0.588308887,0.083267909,0.354421762,0.130165392,0.577662292,0.1296347,0.019722629,0.308936944,0.055016738,0.07730863,0.336905994,0.435520305,0.7502777,0.398126053,0.228916593,0.266691126,NA,NA,0.71264763,NA,0.501685421,0.061820619,0.097873548,0.908369246,0.712710861,0.081137666,0.80165426,0.392572693,0.374768384,NA,0.06018385,0.494273178,0.686291695,0.347669914,0.379507288,0.030226391,0.215726527,0.752345087,0.045178147,0.302205713,0.543435228,0.088239535,0.829901825,0.137318517,0.134191201
BK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763431673,0.406956035,NA,0.503940575,0.834288,0.449657979,0.170993641,0.327416977,0.07497033,0.316160491,0.218008839,0.128670076,0.541360315,0.608842724,0.458287756,0.832973336,0.448589638,0.464711651,0.138494364,0.767118868,0.410279907,NA,0.753816082,0.368190143,0.047384948,0.240348384,0.276113871,0.687770964,0.49743002,0.288077026,0.198740788,NA,0.405556376,0.419649002,0.186716241,0.675074221,0.356817086,0.629874329,NA,0.79063091,0.362719392,0.198487759,0.552553833,0.485724963,0.454218115,0.157434587,0.508674379,0.381037763,0.211016979,0.113151293,0.362621686,0.30741088,0.708939026,0.589911395,0.496676246,0.13285596,NA,NA,0.623966544,NA,0.529645922,0.260498436,0.095240287,0.811488241,0.632776356,0.339783103,0.764801633,0.388304295,0.228260162,NA,0.255473066,0.597597656,0.590990014,0.326028811,0.467114428,0.449553973,0.550010975,0.820117352,0.458136271,0.471170955,0.105193699,0.390954505,0.656025504,0.223394215,0.373975497
